GermplasmName,Pithiness,n Pithiness,GenericGermplasmName
NC09-0344,2.1,2,NC09-0344
NC09-0350,3,11,NC09-0350
NC09-0362,2.3,1,NC09-0362
NC09-0385,1.7,3,NC09-0385
NC09-0411,3.2,21,NC09-0411
NC09-0413,1,1,NC09-0413
NC09-0549,0,1,NC09-0549
NC09-0594,3,4,NC09-0594
NC09-0609,1.8,13,NC09-0609
NC09-0609A2,2.2,1,NC09-0609A2
NC09-0609B1,1.2,1,NC09-0609B1
NC09-0609B2,3.5,1,NC09-0609B2
NC09-0614,1.7,1,NC09-0614
NC09-0628,2,7,NC09-0628
NC09-0654,3.1,3,NC09-0654
NC09-0707,2.9,11,NC09-0707
NC09-0717,1.5,7,NC09-0717
NC09-0772,2.2,2,NC09-0772
NC09-0773,2.7,1,NC09-0773
NC09-0790,3.3,1,NC09-0790
NC09-0794,2.4,1,NC09-0794
NC09-0798,1.7,4,NC09-0798
NC09-0852,3.3,1,NC09-0852
NC09-0854,3.8,2,NC09-0854
NC09-0911,3.3,2,NC09-0911
NC09-0912,3.1,6,NC09-0912
NC09-0930,3.7,1,NC09-0930
NC09-0983,3.2,1,NC09-0983
NC09-1004,2.4,1,NC09-1004
NC09-1014,3.2,2,NC09-1014
NC09-1050,2,4,NC09-1050
NC09-1060,2.3,1,NC09-1060
NC09-1105,1.15,21,NC09-1105
NC09-1105_M19,1.15,21,NC09-1105
NC09-1105_M9,1.15,21,NC09-1105
nc09-1105M18,1.2,1,nc09-1105M18
nc09-1105M3,2.5,1,nc09-1105M3
nc09-1105M9,1.8,1,nc09-1105M9
NC09-1119,2.1125,15,NC09-1119
NC09-1119 _26M,0.7,1,NC09-1119
NC09-1119_13M,2.1125,15,NC09-1119
NC09-1119_21M,2.1125,15,NC09-1119
NC09-1119_M13,2.1125,15,NC09-1119
NC09-1119_M21,2.1125,15,NC09-1119
NC09-1119M26,0.7,1,NC09-1119M26
nc09-1119M36,2,1,nc09-1119M36
NC09-1126,3,1,NC09-1126
NC09-1132,3,7,NC09-1132
NC09-1182,1.5,6,NC09-1182
NC09-1222,2.7,2,NC09-1222
NC09-1251,3.8,1,NC09-1251
NC09-1302,1.3,1,NC09-1302
NC09-1328,0.3,1,NC09-1328
NC09-1401,4,1,NC09-1401
NC10-0016,1.4,4,NC10-0016
NC10-0025,4,1,NC10-0025
NC10-0061,1.1,8,NC10-0061
NC10-0071,2,3,NC10-0071
NC10-0092,2,3,NC10-0092
NC10-0094,2.5,1,NC10-0094
NC10-0097,0.5,2,NC10-0097
NC10-0104,2,2,NC10-0104
NC10-0110,1.2,1,NC10-0110
NC10-0115,1.6,4,NC10-0115
NC10-0118,1.875,20,NC10-0118
NC10-0118 M23,1.5,1,NC10-0118 M23
NC10-0118_M25,1.875,20,NC10-0118
NC10-0118_M34,1.875,20,NC10-0118
nc10-0118M28,2.3,1,nc10-0118M28
NC10-0121,1.6,7,NC10-0121
NC10-0140,1.7,4,NC10-0140
NC10-0178,2,1,NC10-0178
NC10-0214,3.3,1,NC10-0214
NC10-0231,2.1,3,NC10-0231
NC10-0234,2,1,NC10-0234
NC10-0263,2.5,13,NC10-0263
NC10-0271,1.6,4,NC10-0271
NC10-0272,1.3,4,NC10-0272
NC10-0275,1.9,8,NC10-0275
NC10-0280,1.5,4,NC10-0280
NC10-0319,1.9,7,NC10-0319
NC10-0344,2.1,6,NC10-0344
NC10-0352,2.2,2,NC10-0352
NC10-0357,2.8,4,NC10-0357
NC10-0359,1.8,4,NC10-0359
NC10-0367,2.7,3,NC10-0367
NC10-0375,2.2,2,NC10-0375
NC10-0382,2.2,11,NC10-0382
NC10-0398,2.7,1,NC10-0398
NC10-0402,2,1,NC10-0402
NC10-0414,2,1,NC10-0414
NC10-0421,1.8,2,NC10-0421
NC10-0433,3.05,20,NC10-0433
NC10-0498,2.4,4,NC10-0498
NC10-0503,2,13,NC10-0503
NC10-0585,2.3,1,NC10-0585
NC10-0647,2.2,7,NC10-0647
NC10-0648,2.5,5,NC10-0648
NC10-0693,2,2,NC10-0693
NC10-0701,1.7,1,NC10-0701
NC10-0711,1.2,3,NC10-0711
NC10-0712,2,1,NC10-0712
NC10-0714,1,1,NC10-0714
NC10-0719,1.3,1,NC10-0719
NC10-0721,2.7,5,NC10-0721
NC11-0001,2.2,2,NC11-0001
NC11-0002,1.2,2,NC11-0002
NC11-0010,1.2,1,NC11-0010
NC11-0014,1.5,2,NC11-0014
NC11-0018,3.5,2,NC11-0018
NC11-0021,2,2,NC11-0021
NC11-0028,2,1,NC11-0028
