GermplasmName,RKN,FW,GH SSR,Field SSR
NC02-0121 ,,2,,3
NC02-0126 ,,2,,
NC02-0157 ,,1,,
NC02-0165,2,1,3,3
NC02-0165,0,0,2,3
NC02-0165,3,1,2,2
NC02-0165 ,,1,,2
NC02-0260,0,0,0,
NC02-0260 ,,2,,1
NC02-0314 ,,3,,
NC02-0314 ,,2,,
NC02-0350,2,2,0,3
NC02-0350,1,3,3,3
NC02-0350,3,3,0,3
NC02-0350 ,,1,,3
NC02-0404,,1,,3
NC02-0404,4,1,3,
NC02-0405,3,3,2,1
NC02-0405,4,3,1,2
NC02-0405,4,1,1,1
NC02-0405 ,,2,,3
NC02-0423,3,2,3,3
NC02-0423,2,3,3,3
NC02-0423,3,2,3,2
NC02-0423 ,,3,,1
NC02-0427 ,,3,,
NC02-0442 ,,0,,0
NC02-0459,,0,,3
NC02-0459,3,,2,3
NC02-0459,3,3,3,3
NC02-0459,4,3,3,3
NC02-0459,4,3,0,2
NC02-0459 ,,4,,3
NC02-0462,3,2,2,
NC02-0462 ,,3,,3
NC02-0504,3,0,3,
NC02-0504 ,,1,,2
NC02-0525 ,,0,,
NC02-0530 ,,2,,
NC03-0001,2,3,3,
NC03-0005,3,1,0,
NC03-0007,0,3,3,2
NC03-0007,0,3,3,2
NC03-0007,1,2,1,2
NC03-0010,3,3,3,3
NC03-0010,3,2,3,2
NC03-0010,4,3,3,3
NC03-0017,1,1,2,
NC03-0024,1,2,1,
NC03-0030,3,3,3,3
NC03-0030,4,4,3,3
NC03-0030,4,3,3,2
NC03-0035,1,3,3,3
NC03-0035,0,3,3,2
NC03-0035,2,1,1,3
NC03-0054,3,0,1,2
NC03-0054,2,0,2,2
NC03-0066,3,3,2,2
NC03-0066,3,3,3,2
NC03-0066,4,3,3,2
NC03-0066,3,3,2,2
NC03-0070,0,2,0,
NC03-0089,3,2,2,3
NC03-0089,4,3,2,1
NC03-0089,4,2,2,0
NC03-0089,3,2,0,2
NC03-0106,3,0,2,
NC03-0114,1,3,2,2
NC03-0114,0,3,3,2
NC03-0114,3,3,3,2
