Code,Maternal,Paternal
482,P8,Blackie
483,Pope,Blackie
484,So Delite,Blackie
485,W233,Blackie
486,W235,Blackie
487,W271,Blackie
488,W274,Blackie
489,99,Blackie
490,99,Cuban
491,99,W271
492,Cuban,A144
493,93-92,Pink Frost
494,93-95,Pink Frost
495,Darby,Pink Frost
496,Eureka,Pink Frost
497,Hernandez,Pink Frost
498,L81-10,Pink Frost
499,L87-95,Pink Frost
500,So Delite,Pink Frost
501,Pink Frost,Hernandez
502,Pink Frost,L86-33
503,Pink Frost,Sulfur
504,Pink Frost,W241
505,Pink Frost,W273
506,Sulfur,NC1528
507,Sulfur,91-09
508,Sulfur,92-08
509,Sulfur,93-50
510,Sulfur,Beauregard
511,Sulfur,Darby
512,Sulfur,DW8
513,Sulfur,Eureka
514,Sulfur,Hernandez
515,Sulfur,L82-509
516,Sulfur,L84-74
517,Sulfur,L86-33
518,Sulfur,L87-104
519,Sulfur,L87-105
520,Sulfur,P8  
521,Sulfur,Pink Frost
522,Sulfur,Pope
523,Sulfur,Regal
524,Sulfur,Sumor
525,Sulfur,NA
526,Sulfur,W230
527,Sulfur,W271
528,Sulfur,W279
529,92-08,Sulfur
530,A144,Sulfur
531,L82-509,Sulfur
532,L84-74,Sulfur
533,L86-33,Sulfur
534,L87-95,Sulfur
535,MD810,Sulfur
536,P8,Sulfur
537,Regal,Sulfur
538,Sumor,Sulfur
539,W248,Sulfur
540,W274,Sulfur
541,NA,NA
542,7-1,439-10
543,14-1,16-1
544,14-1,274-1
545,14-1,439-10
546,14-1,Sulfur
547,102-1,125-1
548,102-1,434
549,102-1,466
550,102-1,Pink Frost
551,111-1,97-1
552,111-1,Pink Frost
553,111-1,NA
554,125-1,361-1
555,125-1,384-1
556,125-1,434
557,125-1,Pink Frost
558,126-1,Sulfur
559,126-1,NA
559,126-1,NA
560,133-1,403-1
561,133-1,Sulfur
562,136-1,403-1
563,136-1,439-10
564,136-3,439-10
565,138-1,439-6
566,138-1,DW8
567,138-1,Sulfur
568,138-3,308-1
569,274-1,308-1
570,304-1,102-1
571,304-1,125-1
572,304-1,376-1
573,305-1,138-3
574,305-1,308-1
575,305-1,319-2
576,305-1,324-2
577,305-1,371-1
578,305-1,434
579,305-1,484
580,305-1,DW8
581,305-1,Pink Frost
582,305-1,NA
583,305-1,NA
584,308-1,NA
585,308-1,305-1
586,308-1,319-2
587,308-1,371-1
588,308-1,434
589,308-1,DW8
590,308-1,Pink Frost
591,319-1,305-1
592,319-1,308-1
593,319-1,324-2
594,319-1,434
595,319-1,439-10
596,319-1,Pink Frost
597,319-2,138-3
598,319-2,308-1
599,319-2,324-2
600,319-2,Pink Frost
601,319-2,NA
602,319-3,308-1
603,324-2,308-1
604,327-1,434
605,327-1,NA
606,327-2,439-5
607,327-2,Pink Frost
608,327-3,466
609,345-1,305-1
610,345-1,308-1
611,345-1,319-3
612,345-1,371-1
613,361-1,125-1
614,361-1,391-1
615,361-1,466
616,361-1,Pink Frost
617,361-1,So Del X Bl-1
618,364-2,14-1
619,364-2,133-1
620,364-2,CN1367-2
621,371-1,308-1
622,371-1,324-2
623,371-1,434
624,371-1,439-10
625,371-1,DW8
626,371-1,Pink Frost
627,376-1,125-1
628,376-1,327-1
629,376-1,392-2
630,376-1,434
630,376-1,434 var
631,376-1,466
632,376-1,NA
633,382-1,14-1
634,382-1,136-1
635,382-1,274-1
636,382-1,364-2
637,382-1,395-2
